epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc,rank
1,299,1.850786742210388,0.2534,1.8695239959716796,0.248,2314058,0.2559,2
1,599,1.8984815931320191,0.216925,1.9105682777404784,0.2149,2314058,0.218,2
2,299,1.8482222270965576,0.2769,1.8603665313720703,0.2716,2314058,0.273,2
2,599,1.7218744543075561,0.317275,1.7370775430679322,0.3118,2314058,0.3155,2
3,299,1.6435634689331056,0.355875,1.666314928817749,0.3456,2314058,0.3491,2
3,599,1.6311110816955567,0.35545,1.6581938358306885,0.353,2314058,0.3444,2
4,299,1.6037889894485473,0.3851,1.628722934150696,0.3754,2314058,0.3861,2
4,599,1.750049069404602,0.31355,1.7864677770614623,0.2997,2314058,0.3077,2
5,299,1.5503975301742554,0.4092,1.5753669715881347,0.3932,2314058,0.3947,2
5,599,1.5174044389724732,0.4291,1.5341819889068604,0.4302,2314058,0.4179,2
6,299,1.6185240991592407,0.385075,1.6498576347351075,0.3692,2314058,0.3765,2
6,599,1.507618876838684,0.433125,1.5303236186981202,0.4265,2314058,0.4194,2
7,299,1.609337294960022,0.358975,1.6591938343048096,0.3484,2314058,0.346,2
7,599,1.4028769889831543,0.4909,1.4490568073272705,0.4708,2314058,0.4734,2
8,299,1.422533741569519,0.473825,1.469038085746765,0.4605,2314058,0.4566,2
8,599,1.4664843999862671,0.480825,1.523820224761963,0.472,2314058,0.4712,2
9,299,1.5916653652191162,0.4529,1.6374287197113038,0.4431,2314058,0.4431,2
9,599,1.3679021701812744,0.518875,1.4172378194808959,0.4991,2314058,0.4971,2
10,299,1.4227315462112426,0.511125,1.4852135356903076,0.4882,2314058,0.4941,2
10,599,1.2879242922782899,0.526075,1.3583095153808593,0.5116,2314058,0.5009,2
11,299,1.457924077987671,0.49655,1.5066620935440063,0.4787,2314058,0.4776,2
11,599,1.3407882517814635,0.5122,1.4201192490577699,0.499,2314058,0.4914,2
12,299,1.4666232681274414,0.4868,1.5373863071441651,0.4677,2314058,0.4687,2
12,599,1.313066326713562,0.5115,1.3847643598556518,0.4892,2314058,0.4961,2
13,299,1.3262126642227172,0.53735,1.3902950242996215,0.5106,2314058,0.5166,2
13,599,1.3423370719909669,0.531175,1.4108954626083374,0.508,2314058,0.5071,2
14,299,1.3176646922111512,0.5477,1.4066234521865846,0.5151,2353994,0.5274,4
14,599,1.2617226690292358,0.5493,1.3554377113342284,0.5168,2353994,0.522,4
15,299,1.3626609918594361,0.492875,1.4475716915130614,0.4701,2353994,0.4684,4
15,599,1.1614905868530274,0.598675,1.274420140171051,0.5588,2353994,0.566,4
16,299,1.0840041721343994,0.622875,1.2297481580734253,0.5875,2353994,0.5925,4
16,599,1.1193360481262207,0.6103,1.2223160230636596,0.5711,2353994,0.5788,4
17,299,1.0633607233047486,0.6192,1.2221080078125,0.5867,2353994,0.5873,4
17,599,1.210099026966095,0.606025,1.3951479764938355,0.5663,2353994,0.5691,4
18,299,1.0177681864738464,0.635525,1.172663281440735,0.5912,2353994,0.5929,4
18,599,0.9447648148536683,0.664825,1.1048323880195619,0.6176,2353994,0.6158,4
19,299,1.0187950477600098,0.635975,1.1747899883270263,0.5863,2353994,0.5883,4
19,599,0.8646575803756714,0.693025,1.0457519863128661,0.6394,2353994,0.63,4
20,299,0.8638837897777557,0.703375,1.0734956214904785,0.6424,2353994,0.6402,4
20,599,0.8252843851089477,0.711275,1.0010469435691833,0.651,2353994,0.6471,4
21,299,1.058489416885376,0.6469,1.2536638084411622,0.5866,2353994,0.5882,4
21,599,0.7891573176383972,0.728475,1.010911301612854,0.651,2353994,0.6487,4
22,299,0.8116871460914612,0.722275,1.0552252490997314,0.6507,2353994,0.6488,4
22,599,0.7771797203063965,0.7337,1.0198800231933594,0.6566,2353994,0.6553,4
23,299,0.7595715126514435,0.742225,1.0461973628997803,0.6655,2353994,0.6556,4
23,599,0.7668851506233215,0.7432,1.057491273021698,0.657,2353994,0.6575,4
24,299,0.6910940955638886,0.766475,0.9922595233917236,0.6751,2353994,0.6688,4
24,599,0.6767319381713868,0.771175,0.9777145755767822,0.6796,2353994,0.6791,4
25,299,0.6785503508567811,0.7695,0.9996375135421753,0.6694,2353994,0.6713,4
25,599,0.6902127485752105,0.768575,1.0072442697525024,0.6746,2353994,0.6669,4
26,299,0.682059536933899,0.7646,1.0262934925079346,0.6615,2353994,0.659,4
26,599,0.6782545677661895,0.76575,1.0188587449073792,0.6621,2353994,0.6644,4
27,299,0.6348302098751069,0.784275,1.0223106291770936,0.6729,2353994,0.6777,4
27,599,0.6468417450189591,0.78575,1.0472189420700073,0.6718,2353994,0.6651,4
28,299,0.6260443473339081,0.7898,0.9948852069854737,0.6818,2353994,0.6686,4
28,599,0.5902436444759369,0.803625,0.9886593060493469,0.6832,2353994,0.6818,4
29,299,0.5914728788614273,0.802875,1.01957587184906,0.671,2353994,0.6725,4
29,599,0.5871154694080353,0.80585,1.0257778045654298,0.6824,2353994,0.6738,4
30,299,0.5172754989147186,0.827325,1.0080449946403502,0.6926,2353994,0.681,4
30,599,0.6212090807914734,0.797625,1.1742545916557312,0.677,2353994,0.6615,4
