epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc
1,299,1.2985149715423585,0.47202,1.3063528270721436,0.4683,45210,0.4741
1,599,1.1245549277114868,0.5373,1.1366495998382569,0.5339,45210,0.5506
2,299,0.9646278838729858,0.65322,0.975724271774292,0.6555,45210,0.658
2,599,0.9200855107498169,0.6726,0.9309296241760254,0.6689,45210,0.6794
3,299,0.8720695295143127,0.70284,0.892049748802185,0.6994,45210,0.7059
3,599,0.8457058090400695,0.71484,0.8665378448486328,0.7091,45210,0.7217
4,299,0.8262828547668457,0.7225,0.8394270793914795,0.7204,45210,0.7296
4,599,0.8209259499740601,0.72194,0.8361944318771363,0.7181,45210,0.7236
5,299,0.7692712636947632,0.74352,0.7882384887695313,0.7347,45210,0.7471
5,599,0.7528141465759277,0.7513,0.7710867639541626,0.7491,45210,0.7532
6,299,0.7564589088439941,0.75108,0.7754388666152954,0.7478,45210,0.7487
6,599,0.7177858469390869,0.76424,0.7355998495101929,0.7573,45210,0.7666
7,299,0.7073096072006225,0.77024,0.7239597480773926,0.7686,45210,0.7788
7,599,0.690913814163208,0.77632,0.7166995189666748,0.7638,45210,0.7806
8,299,0.7453619605636597,0.74588,0.772860498046875,0.7385,45210,0.7472
8,599,0.6608973633384705,0.79128,0.6865096324920654,0.782,45210,0.7916
9,299,0.7018942286396027,0.76916,0.7213491689682007,0.7584,45210,0.7639
9,599,0.6534322500801086,0.79296,0.6782546825408936,0.7797,45210,0.7935
10,299,0.6573349547958374,0.7935,0.6864106527328491,0.7789,45210,0.7917
10,599,0.7061078634643555,0.76678,0.724493400669098,0.7606,45210,0.7681
11,299,0.6248026856422424,0.80554,0.6550408297538758,0.7961,45210,0.8049
11,599,0.6285168436431885,0.80548,0.6644503362655639,0.7918,45210,0.8033
12,299,0.6461739868068695,0.79908,0.675518385887146,0.7862,45210,0.7998
12,599,0.6350055988121033,0.80152,0.6622664993286133,0.7872,45210,0.8018
13,299,0.6103070757675171,0.81248,0.6347550030708313,0.8038,45210,0.8043
13,599,0.6096634342193603,0.81172,0.6332324998855591,0.8009,45210,0.8098
14,299,0.5923332556056976,0.82134,0.6255003887176513,0.8033,45210,0.822
14,599,0.6100154195022583,0.8165,0.6421428346633911,0.7994,45210,0.8109
15,299,0.5707941212415695,0.83076,0.6003175318717957,0.8185,45210,0.829
15,599,0.5614629826545715,0.83826,0.5973649614334107,0.8196,45210,0.835
16,299,0.5702718710899353,0.8294,0.6001280771255493,0.813,45210,0.8252
16,599,0.5626145139884948,0.8319,0.6020098971366883,0.815,45210,0.833
17,299,0.5964610556030273,0.81814,0.6362903171539307,0.8038,45210,0.8117
17,599,0.5662740860462189,0.83508,0.6014171919822693,0.82,45210,0.8294
18,299,0.5334472680282593,0.84596,0.5720473837852478,0.8267,45210,0.8408
18,599,0.5456060528087616,0.84018,0.5819351258277893,0.8272,45210,0.8382
19,299,0.5859118764305115,0.81876,0.6232132932662964,0.8025,45210,0.8128
19,599,0.5259666781377792,0.8499,0.5664090309143066,0.8322,45210,0.8464
20,299,0.5163360214424133,0.8505,0.5541789384841919,0.835,45210,0.8489
20,599,0.5354998756980895,0.8437,0.5719261004447938,0.8305,45210,0.8396
21,299,0.5348088887596131,0.84594,0.5755911943435669,0.8293,45210,0.8423
21,599,0.5353567891693115,0.8433,0.5756439510345459,0.8276,45210,0.8475
22,299,0.5377550831222534,0.84202,0.5821781869888306,0.824,45210,0.8336
22,599,0.5214630039978028,0.84908,0.5645883695602417,0.8298,45210,0.8454
23,299,0.5192929668235778,0.85044,0.5619735748291016,0.8292,45210,0.8436
23,599,0.43871485890865325,0.87682,0.4731607748031616,0.8622,46950,0.8739
24,299,0.18911359092354774,0.94658,0.20783455932140352,0.9432,46950,0.941
24,599,0.14527086687088012,0.96154,0.17266237788200378,0.9547,46950,0.9594
25,299,0.11937303271442652,0.96596,0.14762813109755515,0.9585,46950,0.9641
25,599,0.11528926620662212,0.96682,0.14078185195922852,0.9592,46950,0.9632
26,299,0.09851347281470894,0.97196,0.12140791275501252,0.9648,46950,0.9698
26,599,0.10406246875286103,0.96942,0.12755973134636878,0.9624,46950,0.9654
27,299,0.10657597236871719,0.96662,0.12469479908645154,0.962,46950,0.9662
27,599,0.08886749088168144,0.9733,0.10980469571650028,0.9681,46950,0.971
28,299,0.08065180143654346,0.97562,0.108474819265306,0.9674,46950,0.9711
28,599,0.08607984776705503,0.97384,0.10983139436244965,0.9677,46950,0.9705
29,299,0.0781459438854456,0.97676,0.10486842633485793,0.9689,46950,0.9731
29,599,0.08387939803481102,0.9753,0.11471304229646921,0.9676,46950,0.9707
30,299,0.07951969895839692,0.97698,0.10965899949073792,0.9683,46950,0.9736
30,599,0.06808882235765457,0.97968,0.09895114610642194,0.971,46950,0.9732
31,299,0.0715524648836255,0.97958,0.1020449867427349,0.9695,46950,0.9741
31,599,0.06327030391573905,0.98138,0.09844601738750934,0.9713,46950,0.9758
32,299,0.07016685268461705,0.9788,0.10304743384122848,0.9695,46950,0.974
32,599,0.07177963475674391,0.97864,0.10544980573356151,0.9673,46950,0.9746
33,299,0.06255840879917145,0.98102,0.09759274843633176,0.9719,46950,0.9747
33,599,0.062388206511437894,0.9813,0.09289332028180361,0.9732,46950,0.974
34,299,0.06513523845732212,0.98038,0.09411010761857033,0.9715,46950,0.9757
34,599,0.06720107427209615,0.97846,0.10161808619350195,0.97,46950,0.9718
35,299,0.06451365969225764,0.98046,0.0955232451684773,0.9734,46950,0.9746
35,599,0.06284621819034218,0.98092,0.09579360685944557,0.9733,46950,0.9755
36,299,0.05840402071900666,0.98214,0.09320568023771048,0.9734,46950,0.9749
36,599,0.07889502145826817,0.97676,0.12613607473820448,0.9667,46950,0.9716
37,299,0.07734649471223354,0.976,0.11653398272097111,0.9666,46950,0.9703
37,599,0.06869679495960473,0.97904,0.11046929392665625,0.968,46950,0.9713
38,299,0.05106339082315564,0.9847,0.08428583730310202,0.9757,46950,0.9762
38,599,0.05172801352128387,0.98386,0.09277195401340722,0.9733,46950,0.9769
39,299,0.05925802135258913,0.98246,0.09674115877114237,0.9728,46950,0.9751
39,599,0.06251763292014599,0.98144,0.10189138515144587,0.9705,46950,0.9742
40,299,0.047074644121825694,0.98596,0.08658843978866934,0.9741,46950,0.9803
40,599,0.04357682156272233,0.98732,0.08214922789558768,0.976,46950,0.9777
41,299,0.05127612845852971,0.98462,0.08989188395999372,0.9756,46950,0.978
41,599,0.04797133390642703,0.9857,0.08152939814552665,0.9779,46950,0.9777
42,299,0.05704536245003343,0.9827,0.09611809571534395,0.9745,46950,0.9764
42,599,0.05040848489955067,0.98502,0.09033575824797153,0.9752,46950,0.978
43,299,0.04887948956727982,0.98496,0.09221672448664904,0.9752,46950,0.9773
43,599,0.04294976095691323,0.98718,0.0885046023927629,0.9762,46950,0.9781
44,299,0.050017083191275596,0.98538,0.09470377223044633,0.9731,46950,0.9763
44,599,0.04013783672630787,0.98848,0.0781169606730342,0.9777,46950,0.9788
45,299,0.039844648158904164,0.98802,0.09460481674969197,0.9753,46950,0.9792
45,599,0.05239060994297266,0.98294,0.09424421605318785,0.9714,46950,0.9753
46,299,0.05611943075872958,0.9828,0.09905810796432198,0.9733,46950,0.9756
46,599,0.05056127762585878,0.98502,0.09964633628576994,0.9747,46950,0.9767
47,299,0.042433532069846985,0.98704,0.08399736527949572,0.9774,48110,0.979
47,599,0.036585907494388524,0.98864,0.08059681149423123,0.9776,48110,0.9808
48,299,0.03587894245557487,0.98928,0.08058088659010827,0.9787,48110,0.9815
48,599,0.04237261049367488,0.98754,0.08717600788325071,0.9773,48110,0.9795
49,299,0.04413181798070669,0.9862,0.08138802454657852,0.9783,48110,0.977
49,599,0.029538246024455875,0.99092,0.07554985156152397,0.9805,48110,0.9821
50,299,0.05116362774986774,0.98428,0.10111973853865638,0.9733,48110,0.9767
50,599,0.0340077703678608,0.9896,0.0733018872782588,0.9791,48110,0.983
