epoch,step,train_loss,train_acc,val_loss,val_acc,num_params,test_acc
1,299,2.12166503162384,0.19785,2.1433708179473876,0.1879,2314058,0.1987
1,599,1.894011665725708,0.224225,1.902468532562256,0.2245,2314058,0.2247
2,299,2.03983212890625,0.2248,2.06002135848999,0.2243,2314058,0.2276
2,599,1.8286481815338134,0.248225,1.8478958723068237,0.2449,2314058,0.249
3,299,1.7647555959701537,0.25575,1.7742906581878661,0.2535,2314058,0.2537
3,599,1.799587682723999,0.289525,1.798436706161499,0.2886,2314058,0.2894
4,299,1.790030533027649,0.2621,1.799853359603882,0.2651,2314058,0.2605
